,chosun_url,chosun_article_most_shared,chosun_title,chosun_time_laps,chosun_time_daytime,chosun_num_facebook_share,chosun_num_comments,chosun_num_likes,final_naver_num_good,final_naver_num_warm,final_naver_num_sad,final_naver_num_angry,final_naver_num_want,final_naver_num_cheer,final_naver_num_congrats,final_naver_num_expect,final_naver_num_surprise,final_naver_num_recommend,final_naver_comment_num,final_naver_comment_num_deleted,final_naver_comment_num_violation,final_naver_sort_recent,final_naver_sort_like,final_naver_sort_ratio,sum_chosun_Headline_Thum01,sum_chosun_Headline_Thum02,sum_chosun_Headline_Thum03,sum_chosun_Headline_Thum04,sum_chosun_Headline_Txt,sum_chosun_Headline_Txt02,sum_chosun_Headline_Txt03,sum_chosun_Headline_Txt04,sum_chosun_Top,sum_chosun_economy,sum_chosun_National_Issue,sum_chosun_editorial,sum_chosun_rank,num_good_words,num_bad_words,num_neutral_words,num_none_words,num_all_words,num_long_words,num_sentences,paper_location_A,paper_location_B,paper_location_D,paper_location_online,section_opinion,section_politics,section_social,section_economy,section_world,section_entertain,section_domestic,section_culture,section_life
20,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500574.html,0.0,"병원협회 ""'초진 환자 대면 진료' 원칙 아래 비대면 진료 찬성""",94.62832835,1.0,0.0,0.0,0.0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,272.0,282.0,26.0,7.0,0,0,0,1,1,1,1,1,1,1,1,1,1
21,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500177.html,0.0,주말 서울 31도,385.0790265,0.0,0.0,1.0,1.0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,218.0,222.0,15.0,9.0,1,0,0,0,1,1,1,1,1,1,1,1,1
22,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500347.html,0.0,원유 DLS 결국… 원금 반토막 나왔다,313.83330018333334,0.0,1.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,2.0,710.0,724.0,134.0,28.0,0,1,0,0,1,1,1,1,1,1,1,1,1
23,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500531.html,0.0,알바 구직자 80% 언택트 면접 찬성,110.54922035,1.0,0.0,0.0,0.0,13,0,0,2,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,161.0,165.0,33.0,12.0,0,0,0,1,1,1,1,1,1,1,1,1,1
24,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500814.html,0.0,코로나로 안전·위생용품 인기...'가성비' 대신 '가안비'?,28.36661283333333,1.0,0.0,0.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,279.0,291.0,47.0,11.0,0,0,0,1,1,1,1,1,1,1,1,1,1
25,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500332.html,0.0,"메인 메뉴로 당당해졌다, 샐러드 매출 폭증",320.07450115,0.0,1.0,0.0,2.0,3,1,0,1,1.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,2.0,793.0,808.0,169.0,29.0,0,1,0,0,1,1,1,1,1,1,1,1,1
26,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500189.html,0.0,"집단면역 길 걷던 스웨덴 ""너무 많은 사람이 죽었다""",381.40182371666674,0.0,2.0,3.0,5.0,2,1,0,12,2.0,0.0,0.0,0.0,0.0,4,19,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,437.0,454.0,96.0,23.0,1,0,0,0,1,1,1,1,1,1,1,1,1
27,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500464.html,0.0,"美 국무부차관보, ""한국도 유연성 보여라"" 방위비 증액 또 압박",146.30481641666663,1.0,1.0,3.0,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,388.0,391.0,50.0,10.0,0,0,0,1,1,1,1,1,1,1,1,1,1
28,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500710.html,0.0,"메건 마클 ""흑인 생명도 소중"" 모교 졸업식서 2020글자 화상 연설",45.65089336666666,1.0,0.0,0.0,2.0,367,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,373.0,384.0,49.0,14.0,0,0,0,1,1,1,1,1,1,1,1,1,1
29,https://news.chosun.com/site/data/html_dir/2020/06/05/2020060500088.html,0.0,"日 ""징용기업 자산 매각땐 모든 선택지 검토"" 보복 시사",257.1251623,0.0,10.0,3.0,3.0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,439.0,446.0,57.0,11.0,1,0,0,0,1,1,1,1,1,1,1,1,1
